ma_phieu,tuyen,lop,so_thu_tu,loai,nhom_ma,nhom_ten,ten_phieu,hoc_ky,tuan,moc_kiem_tra,thoi_luong_phut,thang_diem
GITA-T2-L3-P061,T2,3,61,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán tổng – tỉ nâng cao với tỉ số ẩn,HK2,21,Giữa kỳ II,90,100
GITA-T2-L3-P062,T2,3,62,CD,F,Hình học,Bài toán về chu vi khi ghép hình và cắt hình,HK2,21,Giữa kỳ II,90,100
GITA-T2-L3-P063,T2,3,63,CD,C,Dãy số & Quy luật,Dãy số: tìm số hạng còn thiếu ở giữa dãy,HK2,21,Giữa kỳ II,90,100
GITA-T2-L3-P064,T2,3,64,CD,A,Số học & Cấu tạo số,Số và chữ số: đếm chữ số dùng để viết một dãy số,HK2,22,Giữa kỳ II,90,100
GITA-T2-L3-P065,T2,3,65,CD,G,Suy luận logic & Toán đếm,Bài toán suy luận về ngày và thứ trong tuần,HK2,22,Giữa kỳ II,90,100
GITA-T2-L3-P066,T2,3,66,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán hiệu – tỉ nâng cao,HK2,22,Giữa kỳ II,90,100
GITA-T2-L3-P067,T2,3,67,CD,B,Phép tính & Tính nhanh,So sánh hai biểu thức không cần tính giá trị,HK2,23,Giữa kỳ II,90,100
GITA-T2-L3-P068,T2,3,68,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán thống kê: bảng kép và biểu đồ tranh,HK2,23,Giữa kỳ II,90,100
GITA-T2-L3-P069,T2,3,69,CD,F,Hình học,Bài toán về diện tích phần tô màu,HK2,23,Giữa kỳ II,90,100
GITA-T2-L3-P070,T2,3,70,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 7 — Tổng ôn phiếu P061–P069,HK2,24,Giữa kỳ II,90,100
GITA-T2-L3-P071,T2,3,71,CD,G,Suy luận logic & Toán đếm,Bài toán bất biến đơn giản: tính chẵn lẻ không đổi,HK2,24,Giữa kỳ II,90,100
GITA-T2-L3-P072,T2,3,72,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về công việc chung — làm quen,HK2,24,Giữa kỳ II,90,100
GITA-T2-L3-P073,T2,3,73,CD,C,Dãy số & Quy luật,Quy luật trong dãy phép tính,HK2,25,Giữa kỳ II,90,100
GITA-T2-L3-P074,T2,3,74,CD,A,Số học & Cấu tạo số,"Bài toán tìm số lớn nhất, số bé nhất thoả điều kiện",HK2,25,Giữa kỳ II,90,100
GITA-T2-L3-P075,T2,3,75,CD,F,Hình học,Xếp hình và phủ hình bằng các mảnh cho trước,HK2,25,Giữa kỳ II,90,100
GITA-T2-L3-P076,T2,3,76,CD,B,Phép tính & Tính nhanh,Tính nhanh tổng các số theo quy luật,HK2,26,Giữa kỳ II,90,100
GITA-T2-L3-P077,T2,3,77,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán trung bình cộng nâng cao,HK2,26,Giữa kỳ II,90,100
GITA-T2-L3-P078,T2,3,78,CD,G,Suy luận logic & Toán đếm,"Bài toán về số lần ít nhất, nhiều nhất",HK2,26,Giữa kỳ II,90,100
GITA-T2-L3-P079,T2,3,79,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán thực tế về đo lường và mua bán,HK2,27,Cuối kỳ II,90,100
GITA-T2-L3-P080,T2,3,80,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 8 — Tổng ôn phiếu P071–P079,HK2,27,Cuối kỳ II,90,100
GITA-T2-L3-P081,T2,3,81,CD,A,Số học & Cấu tạo số,Bài toán tìm số biết mối quan hệ giữa các chữ số,HK2,27,Cuối kỳ II,90,100
GITA-T2-L3-P082,T2,3,82,CD,F,Hình học,Bài toán hình học tổng hợp: chu vi và diện tích,HK2,28,Cuối kỳ II,90,100
GITA-T2-L3-P083,T2,3,83,CD,G,Suy luận logic & Toán đếm,Suy luận logic tổng hợp với nhiều dữ kiện,HK2,28,Cuối kỳ II,90,100
GITA-T2-L3-P084,T2,3,84,CD,C,Dãy số & Quy luật,Dãy số kết hợp bài toán trồng cây,HK2,28,Cuối kỳ II,90,100
GITA-T2-L3-P085,T2,3,85,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán có lời văn nhiều bước dạng đề thi,HK2,29,Cuối kỳ II,90,100
GITA-T2-L3-P086,T2,3,86,CD,B,Phép tính & Tính nhanh,Tính nhanh tổng hợp dạng đề thi,HK2,29,Cuối kỳ II,90,100
GITA-T2-L3-P087,T2,3,87,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán phân số và tỉ số dạng đề thi,HK2,29,Cuối kỳ II,90,100
GITA-T2-L3-P088,T2,3,88,CD,G,Suy luận logic & Toán đếm,Toán đếm tổng hợp dạng đề thi,HK2,30,Cuối kỳ II,90,100
GITA-T2-L3-P089,T2,3,89,CD,D,Toán điển hình & Giải toán có lời văn,Mô phỏng đề thi CLC lớp 3 — phần tự luận,HK2,30,Cuối kỳ II,90,100
GITA-T2-L3-P090,T2,3,90,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 9 — Tổng ôn phiếu P081–P089,HK2,30,Cuối kỳ II,90,100
GITA-T2-L3-P091,T2,3,91,CD,A,Số học & Cấu tạo số,Tổng ôn số học nâng cao lớp 3,HK2,31,Cuối kỳ II,90,100
GITA-T2-L3-P092,T2,3,92,CD,F,Hình học,Tổng ôn hình học nâng cao lớp 3,HK2,31,Cuối kỳ II,90,100
GITA-T2-L3-P093,T2,3,93,CD,C,Dãy số & Quy luật,Tổng ôn dãy số và quy luật nâng cao,HK2,31,Cuối kỳ II,90,100
GITA-T2-L3-P094,T2,3,94,CD,G,Suy luận logic & Toán đếm,Tổng ôn suy luận logic nâng cao,HK2,32,Cuối kỳ II,90,100
GITA-T2-L3-P095,T2,3,95,CD,D,Toán điển hình & Giải toán có lời văn,Tổng ôn toán điển hình nâng cao,HK2,32,Cuối kỳ II,90,100
GITA-T2-L3-P096,T2,3,96,CD,B,Phép tính & Tính nhanh,Tổng ôn tính nhanh nâng cao,HK2,32,Cuối kỳ II,90,100
GITA-T2-L3-P097,T2,3,97,CD,E,Đại lượng – Đo lường – Thời gian,Tổng ôn đại lượng và toán thực tế,HK2,33,Cuối kỳ II,90,100
GITA-T2-L3-P098,T2,3,98,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Tổng ôn phân số, tỉ số và thống kê",HK2,33,Cuối kỳ II,90,100
GITA-T2-L3-P099,T2,3,99,CD,D,Toán điển hình & Giải toán có lời văn,Mô phỏng đề đánh giá năng lực — phiên bản rút gọn cho lớp 3,HK2,33,Cuối kỳ II,90,100
GITA-T2-L3-P100,T2,3,100,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 10 — Tổng ôn phiếu P091–P099,HK2,34,Cuối kỳ II,90,100
GITA-T1-L4-P001,T1,4,1,CD,A,Số học & Cấu tạo số,"Ôn tập số tự nhiên: đọc, viết, so sánh đến lớp nghìn",HK1,1,Giữa kỳ I,90,100
GITA-T1-L4-P002,T1,4,2,CD,B,Phép tính & Tính nhanh,Ôn tập bốn phép tính với số tự nhiên,HK1,1,Giữa kỳ I,90,100
GITA-T1-L4-P003,T1,4,3,CD,A,Số học & Cấu tạo số,"Hàng và lớp — lớp nghìn, lớp triệu",HK1,1,Giữa kỳ I,90,100
GITA-T1-L4-P004,T1,4,4,CD,F,Hình học,"Ôn tập hình học lớp 3: chu vi, diện tích hình chữ nhật và hình vuông",HK1,2,Giữa kỳ I,90,100
GITA-T1-L4-P005,T1,4,5,CD,D,Toán điển hình & Giải toán có lời văn,"Bài toán giải bằng hai, ba phép tính",HK1,2,Giữa kỳ I,90,100
GITA-T1-L4-P006,T1,4,6,CD,A,Số học & Cấu tạo số,Viết số tự nhiên trong hệ thập phân — dãy số tự nhiên,HK1,2,Giữa kỳ I,90,100
GITA-T1-L4-P007,T1,4,7,CD,E,Đại lượng – Đo lường – Thời gian,"Yến, tạ, tấn — đổi đơn vị đo khối lượng",HK1,3,Giữa kỳ I,90,100
GITA-T1-L4-P008,T1,4,8,CD,B,Phép tính & Tính nhanh,Biểu thức có chứa một chữ — tính giá trị biểu thức,HK1,3,Giữa kỳ I,90,100
GITA-T1-L4-P009,T1,4,9,CD,A,Số học & Cấu tạo số,So sánh và xếp thứ tự số tự nhiên nhiều chữ số,HK1,3,Giữa kỳ I,90,100
GITA-T1-L4-P010,T1,4,10,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 1 — Tổng ôn phiếu P001–P009,HK1,4,Giữa kỳ I,90,100
GITA-T1-L4-P011,T1,4,11,CD,E,Đại lượng – Đo lường – Thời gian,"Giây, thế kỷ — đơn vị đo thời gian",HK1,4,Giữa kỳ I,90,100
GITA-T1-L4-P012,T1,4,12,CD,D,Toán điển hình & Giải toán có lời văn,Tìm số trung bình cộng,HK1,4,Giữa kỳ I,90,100
GITA-T1-L4-P013,T1,4,13,CD,B,Phép tính & Tính nhanh,"Phép cộng, phép trừ số có nhiều chữ số",HK1,5,Giữa kỳ I,90,100
GITA-T1-L4-P014,T1,4,14,CD,F,Hình học,"Góc nhọn, góc tù, góc bẹt — nhận biết và đo góc",HK1,5,Giữa kỳ I,90,100
GITA-T1-L4-P015,T1,4,15,CD,D,Toán điển hình & Giải toán có lời văn,Tìm hai số khi biết tổng và hiệu của hai số đó,HK1,5,Giữa kỳ I,90,100
GITA-T1-L4-P016,T1,4,16,CD,G,Suy luận logic & Toán đếm,Suy luận logic: lập bảng dữ kiện và loại trừ,HK1,6,Giữa kỳ I,90,100
GITA-T1-L4-P017,T1,4,17,CD,B,Phép tính & Tính nhanh,"Tính chất giao hoán, kết hợp của phép cộng",HK1,6,Giữa kỳ I,90,100
GITA-T1-L4-P018,T1,4,18,CD,C,Dãy số & Quy luật,"Dãy số cách đều: số hạng, số số hạng và tổng",HK1,6,Giữa kỳ I,90,100
GITA-T1-L4-P019,T1,4,19,CD,F,Hình học,"Hai đường thẳng vuông góc, hai đường thẳng song song",HK1,7,Giữa kỳ I,90,100
GITA-T1-L4-P020,T1,4,20,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 2 — Tổng ôn phiếu P011–P019,HK1,7,Giữa kỳ I,90,100
GITA-T1-L4-P021,T1,4,21,CD,B,Phép tính & Tính nhanh,Nhân với số có một chữ số; tính chất của phép nhân,HK1,7,Giữa kỳ I,90,100
GITA-T1-L4-P022,T1,4,22,CD,E,Đại lượng – Đo lường – Thời gian,"Đề-xi-mét vuông, mét vuông",HK1,8,Giữa kỳ I,90,100
GITA-T1-L4-P023,T1,4,23,CD,B,Phép tính & Tính nhanh,"Nhân một số với một tổng, với một hiệu",HK1,8,Giữa kỳ I,90,100
GITA-T1-L4-P024,T1,4,24,CD,F,Hình học,"Vẽ đường thẳng vuông góc, song song; vẽ hình chữ nhật, hình vuông",HK1,8,Giữa kỳ I,90,100
GITA-T1-L4-P025,T1,4,25,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về trung bình cộng nâng cao,HK1,9,Giữa kỳ I,90,100
GITA-T1-L4-P026,T1,4,26,CD,B,Phép tính & Tính nhanh,"Nhân với số có hai chữ số, ba chữ số",HK1,9,Giữa kỳ I,90,100
GITA-T1-L4-P027,T1,4,27,CD,A,Số học & Cấu tạo số,Bài toán về cấu tạo số tự nhiên,HK1,9,Giữa kỳ I,90,100
GITA-T1-L4-P028,T1,4,28,CD,F,Hình học,Hình bình hành — nhận dạng và tính chu vi,HK1,10,Cuối kỳ I,90,100
GITA-T1-L4-P029,T1,4,29,CD,B,Phép tính & Tính nhanh,Chia cho số có một chữ số,HK1,10,Cuối kỳ I,90,100
GITA-T1-L4-P030,T1,4,30,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 3 — Tổng ôn phiếu P021–P029,HK1,10,Cuối kỳ I,90,100
GITA-T1-L4-P031,T1,4,31,CD,A,Số học & Cấu tạo số,Dấu hiệu chia hết cho 2 và cho 5,HK1,11,Cuối kỳ I,90,100
GITA-T1-L4-P032,T1,4,32,CD,C,Dãy số & Quy luật,Dãy số theo quy luật cộng và quy luật nhân,HK1,11,Cuối kỳ I,90,100
GITA-T1-L4-P033,T1,4,33,CD,B,Phép tính & Tính nhanh,Chia một tổng cho một số; chia cho số có hai chữ số,HK1,11,Cuối kỳ I,90,100
GITA-T1-L4-P034,T1,4,34,CD,F,Hình học,Diện tích hình bình hành,HK1,12,Cuối kỳ I,90,100
GITA-T1-L4-P035,T1,4,35,CD,A,Số học & Cấu tạo số,Dấu hiệu chia hết cho 9 và cho 3,HK1,12,Cuối kỳ I,90,100
GITA-T1-L4-P036,T1,4,36,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán rút về đơn vị và bài toán tỉ lệ,HK1,12,Cuối kỳ I,90,100
GITA-T1-L4-P037,T1,4,37,CD,G,Suy luận logic & Toán đếm,Đếm hình trong lưới ô vuông,HK1,13,Cuối kỳ I,90,100
GITA-T1-L4-P038,T1,4,38,CD,B,Phép tính & Tính nhanh,Chia cho số có ba chữ số,HK1,13,Cuối kỳ I,90,100
GITA-T1-L4-P039,T1,4,39,CD,A,Số học & Cấu tạo số,Bài toán vận dụng dấu hiệu chia hết,HK1,13,Cuối kỳ I,90,100
GITA-T1-L4-P040,T1,4,40,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 4 — Tổng ôn phiếu P031–P039,HK1,14,Cuối kỳ I,90,100
GITA-T1-L4-P041,T1,4,41,CD,F,Hình học,Hình thoi — nhận dạng và tính diện tích,HK1,14,Cuối kỳ I,90,100
GITA-T1-L4-P042,T1,4,42,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Khái niệm phân số — đọc, viết, biểu diễn",HK1,14,Cuối kỳ I,90,100
GITA-T1-L4-P043,T1,4,43,CD,E,Đại lượng – Đo lường – Thời gian,Ki-lô-mét vuông; ôn tập bảng đơn vị đo diện tích,HK1,15,Cuối kỳ I,90,100
GITA-T1-L4-P044,T1,4,44,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Phân số bằng nhau — rút gọn phân số,HK1,15,Cuối kỳ I,90,100
GITA-T1-L4-P045,T1,4,45,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán có lời văn với số đo đại lượng,HK1,15,Cuối kỳ I,90,100
GITA-T1-L4-P046,T1,4,46,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Quy đồng mẫu số các phân số,HK1,16,Cuối kỳ I,90,100
GITA-T1-L4-P047,T1,4,47,CD,C,Dãy số & Quy luật,Tìm quy luật của dãy số và dãy hình,HK1,16,Cuối kỳ I,90,100
GITA-T1-L4-P048,T1,4,48,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,So sánh hai phân số,HK1,16,Cuối kỳ I,90,100
GITA-T1-L4-P049,T1,4,49,CD,B,Phép tính & Tính nhanh,Tính giá trị biểu thức số tự nhiên nhiều bước,HK1,17,Cuối kỳ I,90,100
GITA-T1-L4-P050,T1,4,50,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 5 — Tổng ôn phiếu P041–P049,HK1,17,Cuối kỳ I,90,100
GITA-T1-L4-P051,T1,4,51,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Phép cộng, phép trừ phân số cùng mẫu số",HK1,17,Cuối kỳ I,90,100
GITA-T1-L4-P052,T1,4,52,CD,D,Toán điển hình & Giải toán có lời văn,Tìm hai số khi biết tổng và tỉ số của hai số đó,HK1,18,Cuối kỳ I,90,100
GITA-T1-L4-P053,T1,4,53,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Phép cộng, phép trừ phân số khác mẫu số",HK1,18,Cuối kỳ I,90,100
GITA-T1-L4-P054,T1,4,54,CD,F,Hình học,"Diện tích hình chữ nhật, hình vuông — bài toán ngược",HK1,18,Cuối kỳ I,90,100
GITA-T1-L4-P055,T1,4,55,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Phép nhân phân số,HK2,19,Giữa kỳ II,90,100
GITA-T1-L4-P056,T1,4,56,CD,D,Toán điển hình & Giải toán có lời văn,Tìm hai số khi biết hiệu và tỉ số của hai số đó,HK2,19,Giữa kỳ II,90,100
GITA-T1-L4-P057,T1,4,57,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Phép chia phân số,HK2,19,Giữa kỳ II,90,100
GITA-T1-L4-P058,T1,4,58,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán đổi đơn vị đo tổng hợp,HK2,20,Giữa kỳ II,90,100
GITA-T1-L4-P059,T1,4,59,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tỉ lệ bản đồ,HK2,20,Giữa kỳ II,90,100
GITA-T1-L4-P060,T1,4,60,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 6 — Tổng ôn phiếu P051–P059,HK2,20,Giữa kỳ II,90,100
GITA-T1-L4-P061,T1,4,61,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Tìm phân số của một số,HK2,21,Giữa kỳ II,90,100
GITA-T1-L4-P062,T1,4,62,CD,G,Suy luận logic & Toán đếm,"Suy luận về thứ tự, xếp hạng và so sánh",HK2,21,Giữa kỳ II,90,100
GITA-T1-L4-P063,T1,4,63,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán có lời văn với phân số,HK2,21,Giữa kỳ II,90,100
GITA-T1-L4-P064,T1,4,64,CD,F,Hình học,Bài toán về chu vi và diện tích hình ghép,HK2,22,Giữa kỳ II,90,100
GITA-T1-L4-P065,T1,4,65,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán tổng – tỉ với tỉ số ẩn,HK2,22,Giữa kỳ II,90,100
GITA-T1-L4-P066,T1,4,66,CD,C,Dãy số & Quy luật,Tổng dãy số cách đều — kỹ thuật ghép cặp,HK2,22,Giữa kỳ II,90,100
GITA-T1-L4-P067,T1,4,67,CD,B,Phép tính & Tính nhanh,Tính nhanh biểu thức phân số,HK2,23,Giữa kỳ II,90,100
GITA-T1-L4-P068,T1,4,68,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán hiệu – tỉ với hiệu ẩn,HK2,23,Giữa kỳ II,90,100
GITA-T1-L4-P069,T1,4,69,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán thực tế về đo lường và tiền tệ,HK2,23,Giữa kỳ II,90,100
GITA-T1-L4-P070,T1,4,70,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 7 — Tổng ôn phiếu P061–P069,HK2,24,Giữa kỳ II,90,100
GITA-T1-L4-P071,T1,4,71,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Biểu đồ cột — đọc và lập biểu đồ,HK2,24,Giữa kỳ II,90,100
GITA-T1-L4-P072,T1,4,72,CD,A,Số học & Cấu tạo số,"Bài toán về số chẵn, số lẻ và tính chất",HK2,24,Giữa kỳ II,90,100
GITA-T1-L4-P073,T1,4,73,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tuổi,HK2,25,Giữa kỳ II,90,100
GITA-T1-L4-P074,T1,4,74,CD,F,Hình học,Bài toán về diện tích phần tô màu,HK2,25,Giữa kỳ II,90,100
GITA-T1-L4-P075,T1,4,75,CD,B,Phép tính & Tính nhanh,Tìm x trong biểu thức nhiều bước,HK2,25,Giữa kỳ II,90,100
GITA-T1-L4-P076,T1,4,76,CD,G,Suy luận logic & Toán đếm,Bài toán trồng cây và bài toán chia đoạn,HK2,26,Giữa kỳ II,90,100
GITA-T1-L4-P077,T1,4,77,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về công việc và năng suất — làm quen,HK2,26,Giữa kỳ II,90,100
GITA-T1-L4-P078,T1,4,78,CD,C,Dãy số & Quy luật,Dãy số hình: quy luật tăng dần,HK2,26,Giữa kỳ II,90,100
GITA-T1-L4-P079,T1,4,79,CD,A,Số học & Cấu tạo số,Bài toán về chữ số tận cùng,HK2,27,Cuối kỳ II,90,100
GITA-T1-L4-P080,T1,4,80,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 8 — Tổng ôn phiếu P071–P079,HK2,27,Cuối kỳ II,90,100
GITA-T1-L4-P081,T1,4,81,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán về thời gian và lịch,HK2,27,Cuối kỳ II,90,100
GITA-T1-L4-P082,T1,4,82,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán chuyển động làm quen: quãng đường – thời gian,HK2,28,Cuối kỳ II,90,100
GITA-T1-L4-P083,T1,4,83,CD,F,Hình học,Bài toán hình học tổng hợp lớp 4,HK2,28,Cuối kỳ II,90,100
GITA-T1-L4-P084,T1,4,84,CD,G,Suy luận logic & Toán đếm,Bài toán đếm và sắp xếp,HK2,28,Cuối kỳ II,90,100
GITA-T1-L4-P085,T1,4,85,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bài toán phân số tổng hợp,HK2,29,Cuối kỳ II,90,100
GITA-T1-L4-P086,T1,4,86,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán có lời văn nhiều bước dạng đề kiểm tra,HK2,29,Cuối kỳ II,90,100
GITA-T1-L4-P087,T1,4,87,CD,B,Phép tính & Tính nhanh,Ôn tập bốn phép tính và tính nhanh,HK2,29,Cuối kỳ II,90,100
GITA-T1-L4-P088,T1,4,88,CD,A,Số học & Cấu tạo số,Ôn tập số tự nhiên và dấu hiệu chia hết,HK2,30,Cuối kỳ II,90,100
GITA-T1-L4-P089,T1,4,89,CD,D,Toán điển hình & Giải toán có lời văn,Ôn tập toán điển hình lớp 4,HK2,30,Cuối kỳ II,90,100
GITA-T1-L4-P090,T1,4,90,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 9 — Tổng ôn phiếu P081–P089,HK2,30,Cuối kỳ II,90,100
GITA-T1-L4-P091,T1,4,91,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Ôn tập phân số,HK2,31,Cuối kỳ II,90,100
GITA-T1-L4-P092,T1,4,92,CD,F,Hình học,Ôn tập hình học lớp 4,HK2,31,Cuối kỳ II,90,100
GITA-T1-L4-P093,T1,4,93,CD,C,Dãy số & Quy luật,Ôn tập dãy số và quy luật,HK2,31,Cuối kỳ II,90,100
GITA-T1-L4-P094,T1,4,94,CD,E,Đại lượng – Đo lường – Thời gian,Ôn tập đại lượng và đo lường,HK2,32,Cuối kỳ II,90,100
GITA-T1-L4-P095,T1,4,95,CD,G,Suy luận logic & Toán đếm,Ôn tập suy luận và toán đếm,HK2,32,Cuối kỳ II,90,100
GITA-T1-L4-P096,T1,4,96,CD,D,Toán điển hình & Giải toán có lời văn,Ôn tập giải toán có lời văn,HK2,32,Cuối kỳ II,90,100
GITA-T1-L4-P097,T1,4,97,CD,B,Phép tính & Tính nhanh,Ôn tập biểu thức và tìm x,HK2,33,Cuối kỳ II,90,100
GITA-T1-L4-P098,T1,4,98,CD,A,Số học & Cấu tạo số,Ôn tập số học tổng hợp,HK2,33,Cuối kỳ II,90,100
GITA-T1-L4-P099,T1,4,99,CD,D,Toán điển hình & Giải toán có lời văn,Tổng ôn cuối năm lớp 4,HK2,33,Cuối kỳ II,90,100
GITA-T1-L4-P100,T1,4,100,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 10 — Tổng ôn phiếu P091–P099,HK2,34,Cuối kỳ II,90,100
GITA-T2-L4-P001,T2,4,1,CD,A,Số học & Cấu tạo số,Cấu tạo số tự nhiên — phân tích theo hàng,HK1,1,Giữa kỳ I,90,100
GITA-T2-L4-P002,T2,4,2,CD,B,Phép tính & Tính nhanh,"Tính nhanh tổng, hiệu bằng ghép cặp và bù trừ",HK1,1,Giữa kỳ I,90,100
GITA-T2-L4-P003,T2,4,3,CD,C,Dãy số & Quy luật,Dãy số cách đều — công thức số hạng thứ n,HK1,1,Giữa kỳ I,90,100
GITA-T2-L4-P004,T2,4,4,CD,G,Suy luận logic & Toán đếm,Suy luận logic bằng lập bảng và loại trừ,HK1,2,Giữa kỳ I,90,100
GITA-T2-L4-P005,T2,4,5,CD,D,Toán điển hình & Giải toán có lời văn,"Tổng – hiệu: dạng ẩn tổng, ẩn hiệu",HK1,2,Giữa kỳ I,90,100
GITA-T2-L4-P006,T2,4,6,CD,F,Hình học,"Đếm hình: tam giác, tứ giác, hình vuông trong lưới",HK1,2,Giữa kỳ I,90,100
GITA-T2-L4-P007,T2,4,7,CD,A,Số học & Cấu tạo số,"Tính chẵn lẻ của tổng, hiệu và tích",HK1,3,Giữa kỳ I,90,100
GITA-T2-L4-P008,T2,4,8,CD,B,Phép tính & Tính nhanh,Tính nhanh tích bằng tách và ghép thừa số,HK1,3,Giữa kỳ I,90,100
GITA-T2-L4-P009,T2,4,9,CD,D,Toán điển hình & Giải toán có lời văn,Trung bình cộng: dạng ẩn và dạng dãy số,HK1,3,Giữa kỳ I,90,100
GITA-T2-L4-P010,T2,4,10,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 1 — Tổng ôn phiếu P001–P009,HK1,4,Giữa kỳ I,90,100
GITA-T2-L4-P011,T2,4,11,CD,A,Số học & Cấu tạo số,"Dấu hiệu chia hết cho 2, cho 5 và bài toán chữ số tận cùng",HK1,4,Giữa kỳ I,90,100
GITA-T2-L4-P012,T2,4,12,CD,C,Dãy số & Quy luật,Số số hạng và tổng của dãy số cách đều,HK1,4,Giữa kỳ I,90,100
GITA-T2-L4-P013,T2,4,13,CD,G,Suy luận logic & Toán đếm,Nguyên lý Đi-rích-lê: bài toán chuồng và thỏ,HK1,5,Giữa kỳ I,90,100
GITA-T2-L4-P014,T2,4,14,CD,D,Toán điển hình & Giải toán có lời văn,Tổng – tỉ: sơ đồ đoạn thẳng và tỉ số ẩn,HK1,5,Giữa kỳ I,90,100
GITA-T2-L4-P015,T2,4,15,CD,F,Hình học,"Chu vi và diện tích hình ghép, hình khuyết",HK1,5,Giữa kỳ I,90,100
GITA-T2-L4-P016,T2,4,16,CD,A,Số học & Cấu tạo số,"Dấu hiệu chia hết cho 3, cho 9 và tổng các chữ số",HK1,6,Giữa kỳ I,90,100
GITA-T2-L4-P017,T2,4,17,CD,B,Phép tính & Tính nhanh,So sánh biểu thức không cần tính giá trị,HK1,6,Giữa kỳ I,90,100
GITA-T2-L4-P018,T2,4,18,CD,D,Toán điển hình & Giải toán có lời văn,Hiệu – tỉ: sơ đồ đoạn thẳng và hiệu ẩn,HK1,6,Giữa kỳ I,90,100
GITA-T2-L4-P019,T2,4,19,CD,G,Suy luận logic & Toán đếm,Bài toán cân đĩa và tìm vật khác biệt,HK1,7,Giữa kỳ I,90,100
GITA-T2-L4-P020,T2,4,20,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 2 — Tổng ôn phiếu P011–P019,HK1,7,Giữa kỳ I,90,100
GITA-T2-L4-P021,T2,4,21,CD,A,Số học & Cấu tạo số,"Dấu hiệu chia hết kết hợp: chia hết cho 6, 15, 45",HK1,7,Giữa kỳ I,90,100
GITA-T2-L4-P022,T2,4,22,CD,C,Dãy số & Quy luật,Dãy số theo quy luật nhân và dãy Fibonacci,HK1,8,Giữa kỳ I,90,100
GITA-T2-L4-P023,T2,4,23,CD,D,Toán điển hình & Giải toán có lời văn,Toán về tuổi: hiệu số tuổi không đổi,HK1,8,Giữa kỳ I,90,100
