Mã nhiệm vụ,Phiếu luyện,Tiêu đề,Phần thi,Chuyên đề,Giai đoạn,Cấp độ,Dạng,Điểm KN,Lời giao việc,Ràng buộc
NV-0180,PL-TOA-SEQ-L2-004,"Phiếu luyện nâng cao: Dãy số, cấp số cộng & cấp số nhân — cấp 2",Toán,"Dãy số, cấp số cộng & cấp số nhân",1,2,Phiếu luyện nâng cao,84,"Hoàn thành 10 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0181,PL-TOA-SEQ-L2-005,"Phiếu ôn thi: Dãy số, cấp số cộng & cấp số nhân — cấp 2",Toán,"Dãy số, cấp số cộng & cấp số nhân",1,2,Phiếu ôn thi,72,"Hoàn thành 10 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 11 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0182,PL-TOA-SEQ-L2-006,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 2",Toán,"Dãy số, cấp số cộng & cấp số nhân",1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0183,PL-TOA-SEQ-L2-007,"Phiếu thi: Dãy số, cấp số cộng & cấp số nhân — cấp 2",Toán,"Dãy số, cấp số cộng & cấp số nhân",1,2,Phiếu thi,108,"Hoàn thành 10 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0184,PL-TOA-SEQ-L3-001,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu lý thuyết,72,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0185,PL-TOA-SEQ-L3-002,"Phiếu dạng bài & đọc vị: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu dạng bài & đọc vị,90,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0186,PL-TOA-SEQ-L3-003,"Phiếu kỹ năng & phương pháp: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu kỹ năng & phương pháp,99,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0187,PL-TOA-SEQ-L3-004,"Phiếu luyện nâng cao: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu luyện nâng cao,126,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0188,PL-TOA-SEQ-L3-005,"Phiếu ôn thi: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu ôn thi,108,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 14 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0189,PL-TOA-SEQ-L3-006,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu lý thuyết,72,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0190,PL-TOA-SEQ-L3-007,"Phiếu dạng bài & đọc vị: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu dạng bài & đọc vị,90,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0191,PL-TOA-SEQ-L3-008,"Phiếu thi: Dãy số, cấp số cộng & cấp số nhân — cấp 3",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,3,Phiếu thi,162,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0192,PL-TOA-SEQ-L4-001,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu lý thuyết,96,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0193,PL-TOA-SEQ-L4-002,"Phiếu dạng bài & đọc vị: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu dạng bài & đọc vị,120,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0194,PL-TOA-SEQ-L4-003,"Phiếu kỹ năng & phương pháp: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu kỹ năng & phương pháp,132,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0195,PL-TOA-SEQ-L4-004,"Phiếu luyện nâng cao: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu luyện nâng cao,168,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0196,PL-TOA-SEQ-L4-005,"Phiếu ôn thi: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu ôn thi,144,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0197,PL-TOA-SEQ-L4-006,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu lý thuyết,96,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0198,PL-TOA-SEQ-L4-007,"Phiếu dạng bài & đọc vị: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu dạng bài & đọc vị,120,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0199,PL-TOA-SEQ-L4-008,"Phiếu thi: Dãy số, cấp số cộng & cấp số nhân — cấp 4",Toán,"Dãy số, cấp số cộng & cấp số nhân",2,4,Phiếu thi,216,"Hoàn thành 12 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 11 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0200,PL-TOA-SEQ-L5-001,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 5",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,5,Phiếu lý thuyết,128,"Hoàn thành 14 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 21 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 10 câu là hoàn thành; đúng từ 12 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 5: Xử lý câu phân loại mà không mất nhịp.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0201,PL-TOA-SEQ-L5-002,"Phiếu dạng bài & đọc vị: Dãy số, cấp số cộng & cấp số nhân — cấp 5",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,5,Phiếu dạng bài & đọc vị,160,"Hoàn thành 14 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 19 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 10 câu là hoàn thành; đúng từ 12 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 5: Xử lý câu phân loại mà không mất nhịp.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0202,PL-TOA-SEQ-L5-003,"Phiếu kỹ năng & phương pháp: Dãy số, cấp số cộng & cấp số nhân — cấp 5",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,5,Phiếu kỹ năng & phương pháp,176,"Hoàn thành 14 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 16 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 10 câu là hoàn thành; đúng từ 12 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 5: Xử lý câu phân loại mà không mất nhịp.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0203,PL-TOA-SEQ-L5-004,"Phiếu luyện nâng cao: Dãy số, cấp số cộng & cấp số nhân — cấp 5",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,5,Phiếu luyện nâng cao,224,"Hoàn thành 14 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 16 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 10 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 5: Xử lý câu phân loại mà không mất nhịp.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0204,PL-TOA-SEQ-L5-005,"Phiếu ôn thi: Dãy số, cấp số cộng & cấp số nhân — cấp 5",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,5,Phiếu ôn thi,192,"Hoàn thành 14 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 16 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 10 câu là hoàn thành; đúng từ 12 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 5: Xử lý câu phân loại mà không mất nhịp.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0205,PL-TOA-SEQ-L5-006,"Phiếu thi: Dãy số, cấp số cộng & cấp số nhân — cấp 5",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,5,Phiếu thi,288,"Hoàn thành 14 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 14 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 10 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 5: Xử lý câu phân loại mà không mất nhịp.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0206,PL-TOA-SEQ-L6-001,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 6",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,6,Phiếu lý thuyết,176,"Hoàn thành 15 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0207,PL-TOA-SEQ-L6-002,"Phiếu dạng bài & đọc vị: Dãy số, cấp số cộng & cấp số nhân — cấp 6",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,6,Phiếu dạng bài & đọc vị,220,"Hoàn thành 15 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0208,PL-TOA-SEQ-L6-003,"Phiếu kỹ năng & phương pháp: Dãy số, cấp số cộng & cấp số nhân — cấp 6",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,6,Phiếu kỹ năng & phương pháp,242,"Hoàn thành 15 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0209,PL-TOA-SEQ-L6-004,"Phiếu luyện nâng cao: Dãy số, cấp số cộng & cấp số nhân — cấp 6",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,6,Phiếu luyện nâng cao,308,"Hoàn thành 15 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 14 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0210,PL-TOA-SEQ-L6-005,"Phiếu ôn thi: Dãy số, cấp số cộng & cấp số nhân — cấp 6",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,6,Phiếu ôn thi,264,"Hoàn thành 15 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 14 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0211,PL-TOA-SEQ-L6-006,"Phiếu lý thuyết: Dãy số, cấp số cộng & cấp số nhân — cấp 6",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,6,Phiếu lý thuyết,176,"Hoàn thành 15 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 13 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0212,PL-TOA-SEQ-L6-007,"Phiếu thi: Dãy số, cấp số cộng & cấp số nhân — cấp 6",Toán,"Dãy số, cấp số cộng & cấp số nhân",3,6,Phiếu thi,396,"Hoàn thành 15 câu chuyên đề ""Dãy số, cấp số cộng & cấp số nhân"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 11 câu là hoàn thành; đúng từ 14 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 6: Tốc độ và độ chính xác của nhóm dẫn đầu phổ điểm.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0213,PL-TOA-GEO-L1-001,Phiếu lý thuyết: Hình học phẳng & không gian — cấp 1,Toán,Hình học phẳng & không gian,1,1,Phiếu lý thuyết,32,"Hoàn thành 8 câu chuyên đề ""Hình học phẳng & không gian"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0214,PL-TOA-GEO-L1-002,Phiếu dạng bài & đọc vị: Hình học phẳng & không gian — cấp 1,Toán,Hình học phẳng & không gian,1,1,Phiếu dạng bài & đọc vị,40,"Hoàn thành 8 câu chuyên đề ""Hình học phẳng & không gian"" trong khoảng 9 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0215,PL-TOA-GEO-L1-003,Phiếu kỹ năng & phương pháp: Hình học phẳng & không gian — cấp 1,Toán,Hình học phẳng & không gian,1,1,Phiếu kỹ năng & phương pháp,44,"Hoàn thành 8 câu chuyên đề ""Hình học phẳng & không gian"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0216,PL-TOA-GEO-L1-004,Phiếu luyện nâng cao: Hình học phẳng & không gian — cấp 1,Toán,Hình học phẳng & không gian,1,1,Phiếu luyện nâng cao,56,"Hoàn thành 8 câu chuyên đề ""Hình học phẳng & không gian"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 8 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0217,PL-TOA-GEO-L1-005,Phiếu ôn thi: Hình học phẳng & không gian — cấp 1,Toán,Hình học phẳng & không gian,1,1,Phiếu ôn thi,48,"Hoàn thành 8 câu chuyên đề ""Hình học phẳng & không gian"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0218,PL-TOA-GEO-L1-006,Phiếu lý thuyết: Hình học phẳng & không gian — cấp 1,Toán,Hình học phẳng & không gian,1,1,Phiếu lý thuyết,32,"Hoàn thành 8 câu chuyên đề ""Hình học phẳng & không gian"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0219,PL-TOA-GEO-L1-007,Phiếu dạng bài & đọc vị: Hình học phẳng & không gian — cấp 1,Toán,Hình học phẳng & không gian,1,1,Phiếu dạng bài & đọc vị,40,"Hoàn thành 8 câu chuyên đề ""Hình học phẳng & không gian"" trong khoảng 9 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
