ma,ho,lop,moc,moc_ten,pham_vi,tuan,ten,thoi_luong,thang_diem,bien_the
GITA-MOC-L5-GK2-D03,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L5-GK2-D04,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L5-GK2-D05,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L5-GK2-D06,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L5-GK2-D07,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L5-GK2-D08,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L5-GK2-D09,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L5-GK2-D10,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L5-CK2,ON,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Phiếu ôn tập Cuối kỳ II — Lớp 5,90,100,
GITA-MOC-L5-CK2-D01,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L5-CK2-D02,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L5-CK2-D03,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L5-CK2-D04,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L5-CK2-D05,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L5-CK2-D06,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L5-CK2-D07,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L5-CK2-D08,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L5-CK2-D09,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L5-CK2-D10,MOC,5,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 5 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-NL-L5-D01,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 01,60,100,Bản chuẩn — dùng cho lần thi chính thức
GITA-NL-L5-D02,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 02,60,100,"Đổi số liệu, giữ nguyên dạng"
GITA-NL-L5-D03,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 03,60,100,Đổi bối cảnh sang mua bán
GITA-NL-L5-D04,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 04,60,100,Đổi bối cảnh sang trường lớp
GITA-NL-L5-D05,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 05,60,100,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-NL-L5-D06,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 06,60,100,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-NL-L5-D07,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 07,60,100,Thêm một bẫy đơn vị đo
GITA-NL-L5-D08,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 08,60,100,Thêm một bẫy dữ kiện thừa
GITA-NL-L5-D09,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 09,60,100,Thiên về hình học và đại lượng
GITA-NL-L5-D10,NL,5,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 5 — đề 10,60,100,Thiên về suy luận và toán đếm
