tuan,ngay,thu,gio,nhom,ma_bai,nghi_thuc,tru_cot,tieu_de,dinh_dang,cta,tang_gia_tri,muc_cham_soc,chu_de_thang,nguoi_phu_trach,trang_thai
4,2026-10-02,Thu Sau,19:45,G2 - Gia Đình Thịnh Vượng,G2-W04-T6-KHOE,Khoe Nhà Mình,Cau chuyen gia dinh,Một buổi tối bình thường của nhà mình,Anh/video + cau chuyen,Dang anh that kem 1 cau chuyen,T0,CARE-3,KET_NOI,chua phan cong,chua soan
4,2026-10-03,Thu Bay,08:00,G1 - Cộng đồng GITA365,G1-W04-T7-THUC,Thực Chiến,Thuc hanh co huong dan,Bài tập: chọn một điều để buông tuần này,Bai tap + mau dien,Nop bai tren web app truoc Chu nhat,T1,CARE-2,NEN_MONG,chua phan cong,chua soan
4,2026-10-03,Thu Bay,08:00,G2 - Gia Đình Thịnh Vượng,G2-W04-T7-CHOI,Gia Đình Chơi Cùng Nhau,Hoat dong gia dinh,Săn tìm kho báu trong chính nhà mình,Huong dan tro choi 15 phut,Choi va dang anh/video,T1,CARE-2,KET_NOI,chua phan cong,chua soan
4,2026-10-03,Thu Bay,11:45,G1 - Cộng đồng GITA365,G1-W04-N6,Bai nhe,Nhan thuc & tu duy,Điều ai cũng khuyên nhưng có thể sai với bạn,Goc nhin nguoc,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
4,2026-10-04,Chu Nhat,11:45,G1 - Cộng đồng GITA365,G1-W04-N7,Bai nhe,Moi goi hanh dong,Buổi định hướng nhóm nhỏ tuần này còn chỗ,Nhac buoi dinh huong,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
4,2026-10-04,Chu Nhat,21:00,G1 - Cộng đồng GITA365,G1-W04-CN-TONG,Tổng Kết & Vinh Danh,Moi goi hanh dong,Khép tuần: điều bạn mang sang tuần sau,Bang vinh danh + 1 loi moi,Loi moi duy nhat trong tuan,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
4,2026-10-04,Chu Nhat,21:00,G2 - Gia Đình Thịnh Vượng,G2-W04-CN-VINH,Bảng Vinh Danh Gia Đình,Thi dua & vinh danh,Gia đình lan tỏa nhất tuần qua,Bang xep hang 4 bang dau,Co vu it nhat 3 gia dinh,T0,CARE-3,KET_NOI,chua phan cong,chua soan
5,2026-10-05,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W05-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,Tuần này bạn rèn kỷ luật ở điểm nào?,Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NANG_LUC,chua phan cong,chua soan
5,2026-10-05,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W05-N1,Bai nhe,Nhan thuc & tu duy,Một câu để mang theo hôm nay,Anh trich dan co ngu canh,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
5,2026-10-05,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W05-N1,Bai nhe,Ky nang cha me - vo chong,Nhà bạn xử lý thế nào khi hai đứa tranh nhau đồ chơi?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
5,2026-10-05,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W05-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: nghe con nói mà không ngắt lời,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
5,2026-10-06,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W05-N2,Bai nhe,Bang chung & cau chuyen,Hậu trường: một buổi làm việc của đội GITA365,Hau truong,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
5,2026-10-06,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W05-N2,Bai nhe,Thi dua & vinh danh,Bảng xếp hạng giữa tuần: nhà bạn đang ở đâu?,Nhac bang xep hang,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
5,2026-10-06,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W05-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,"Câu hỏi bàn ăn: nếu được đổi một luật trong nhà, con đổi gì?",Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,NUOI_DAY,chua phan cong,chua soan
5,2026-10-06,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W05-T3-GIAI,Giải Mã,Nhan thuc & tu duy,Kỷ luật không phải ý chí — nó là thiết kế,Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NANG_LUC,chua phan cong,chua soan
5,2026-10-07,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W05-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Dạy lại điều bạn vừa học được tuần này,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NANG_LUC,chua phan cong,chua soan
5,2026-10-07,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W05-N3,Bai nhe,Nhan thuc & tu duy,Trả lời một câu hỏi thật của thành viên,Tra loi cau hoi that,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
5,2026-10-07,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W05-N3,Bai nhe,Moi nhan cong cu tang 1,Tặng cả nhà bộ 30 câu hỏi bàn ăn,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
5,2026-10-07,Thu Tu,19:45,G2 - Gia Đình Thịnh Vượng,G2-W05-T4-VIEC,Việc Tử Tế Của Gia Đình,Cau chuyen gia dinh,Để con tự chọn một việc tử tế,Ke lai 3 dong,Ke viec tu te va gan the mot gia dinh khac,T0,CARE-2,NUOI_DAY,chua phan cong,chua soan
5,2026-10-08,Thu Nam,11:45,G1 - Cộng đồng GITA365,G1-W05-N4,Bai nhe,Thuc hanh co huong dan,Thử ngay 5 phút: viết ra ba điều đang chiếm đầu bạn,Thu ngay 5 phut,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
5,2026-10-08,Thu Nam,20:00,G1 - Cộng đồng GITA365,G1-W05-T5-HOI_,Hỏi & Đáp Cùng Cố Vấn,Ket noi & nghi thuc,"Quản trị bản thân: hỏi thẳng, đáp thật",Livestream 30-45 phut,Dat cau hoi truoc gio live,T2,CARE-3,NANG_LUC,chua phan cong,chua soan
5,2026-10-08,Thu Nam,20:00,G2 - Gia Đình Thịnh Vượng,G2-W05-T5-CHA_,Cha Mẹ Tỉnh Thức,Ky nang cha me - vo chong,Kỷ luật tích cực: phạt mà không làm tổn thương,Bai ky nang + kich ban noi,Thu toi nay va ke lai,T1,CARE-3,NUOI_DAY,chua phan cong,chua soan
5,2026-10-09,Thu Sau,11:45,G1 - Cộng đồng GITA365,G1-W05-N5,Bai nhe,Bang chung & cau chuyen,Sai lầm tôi từng trả giá đắt,Sai lam cua toi,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
5,2026-10-09,Thu Sau,19:45,G1 - Cộng đồng GITA365,G1-W05-T6-BANG,Bằng Chứng,Bang chung & cau chuyen,Chín mươi ngày và một cuốn sổ,Cau chuyen chuyen hoa (UGC),Ke cau chuyen cua ban,T1,CARE-3,NANG_LUC,chua phan cong,chua soan
5,2026-10-09,Thu Sau,19:45,G2 - Gia Đình Thịnh Vượng,G2-W05-T6-KHOE,Khoe Nhà Mình,Cau chuyen gia dinh,Con bạn vừa làm được điều gì?,Anh/video + cau chuyen,Dang anh that kem 1 cau chuyen,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
5,2026-10-10,Thu Bay,08:00,G1 - Cộng đồng GITA365,G1-W05-T7-THUC,Thực Chiến,Thuc hanh co huong dan,Bài tập: bảng quản trị năng lượng một tuần,Bai tap + mau dien,Nop bai tren web app truoc Chu nhat,T1,CARE-2,NANG_LUC,chua phan cong,chua soan
5,2026-10-10,Thu Bay,08:00,G2 - Gia Đình Thịnh Vượng,G2-W05-T7-CHOI,Gia Đình Chơi Cùng Nhau,Hoat dong gia dinh,Trò chơi rèn kiên nhẫn cho con,Huong dan tro choi 15 phut,Choi va dang anh/video,T1,CARE-2,NUOI_DAY,chua phan cong,chua soan
5,2026-10-10,Thu Bay,11:45,G1 - Cộng đồng GITA365,G1-W05-N6,Bai nhe,Nhan thuc & tu duy,Câu hỏi nhanh: khó nhất với bạn là bắt đầu hay duy trì?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
5,2026-10-11,Chu Nhat,11:45,G1 - Cộng đồng GITA365,G1-W05-N7,Bai nhe,Moi goi hanh dong,Bộ công cụ tuần này đang nằm ở đâu?,Nhac tai nguyen tang 1,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
5,2026-10-11,Chu Nhat,21:00,G1 - Cộng đồng GITA365,G1-W05-CN-TONG,Tổng Kết & Vinh Danh,Moi goi hanh dong,Bảng vinh danh người bền bỉ nhất tuần,Bang vinh danh + 1 loi moi,Loi moi duy nhat trong tuan,T2,CARE-3,NANG_LUC,chua phan cong,chua soan
5,2026-10-11,Chu Nhat,21:00,G2 - Gia Đình Thịnh Vượng,G2-W05-CN-VINH,Bảng Vinh Danh Gia Đình,Thi dua & vinh danh,Vinh danh những cha mẹ đã thay đổi cách nói,Bang xep hang 4 bang dau,Co vu it nhat 3 gia dinh,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
6,2026-10-12,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W06-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,Chọn một việc khó và làm nó trước 9 giờ sáng,Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NANG_LUC,chua phan cong,chua soan
6,2026-10-12,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W06-N1,Bai nhe,Nhan thuc & tu duy,Bình chọn: bạn hợp với buổi sáng hay buổi tối?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
6,2026-10-12,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W06-N1,Bai nhe,Ky nang cha me - vo chong,Bình chọn: cuối tuần nhà bạn thích ở nhà hay đi chơi?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
6,2026-10-12,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W06-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: cùng con làm một việc nhà,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
6,2026-10-13,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W06-N2,Bai nhe,Bang chung & cau chuyen,Một câu của thành viên khiến cả nhóm dừng lại,Anh trich dan tu thanh vien,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
6,2026-10-13,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W06-N2,Bai nhe,Thi dua & vinh danh,Chào những gia đình mới đăng ký Mã gia đình tuần này,Goi ten gia dinh moi,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
6,2026-10-13,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W06-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,Câu hỏi bàn ăn: con muốn bố mẹ hiểu điều gì?,Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,NUOI_DAY,chua phan cong,chua soan
6,2026-10-13,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W06-T3-GIAI,Giải Mã,Nhan thuc & tu duy,Bốn cái hố của người mới quản lý tiền,Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NANG_LUC,chua phan cong,chua soan
6,2026-10-14,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W06-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Tặng ai đó 20 phút của bạn,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NANG_LUC,chua phan cong,chua soan
6,2026-10-14,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W06-N3,Bai nhe,Ket noi & nghi thuc,Chào mừng những người mới của tuần,Chao mung nguoi moi,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
6,2026-10-14,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W06-N3,Bai nhe,Moi nhan cong cu tang 1,Bộ 12 trò chơi gắn kết cha mẹ - con cái đã có trên web app,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
6,2026-10-14,Thu Tu,19:45,G2 - Gia Đình Thịnh Vượng,G2-W06-T4-VIEC,Việc Tử Tế Của Gia Đình,Cau chuyen gia dinh,Việc tử tế trong chính nhà mình,Ke lai 3 dong,Ke viec tu te va gan the mot gia dinh khac,T0,CARE-2,NUOI_DAY,chua phan cong,chua soan
6,2026-10-15,Thu Nam,11:45,G1 - Cộng đồng GITA365,G1-W06-N4,Bai nhe,Thuc hanh co huong dan,Thử ngay 5 phút: gọi cho một người bạn đang nghĩ tới,Thu ngay 5 phut,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
6,2026-10-15,Thu Nam,20:00,G1 - Cộng đồng GITA365,G1-W06-T5-HOI_,Hỏi & Đáp Cùng Cố Vấn,Ket noi & nghi thuc,Tiền bạc trong gia đình: những câu khó nói,Livestream 30-45 phut,Dat cau hoi truoc gio live,T2,CARE-3,NANG_LUC,chua phan cong,chua soan
6,2026-10-15,Thu Nam,20:00,G2 - Gia Đình Thịnh Vượng,G2-W06-T5-CHA_,Cha Mẹ Tỉnh Thức,Ky nang cha me - vo chong,Khi con nói dối: bốn bước xử lý,Bai ky nang + kich ban noi,Thu toi nay va ke lai,T1,CARE-3,NUOI_DAY,chua phan cong,chua soan
6,2026-10-16,Thu Sau,11:45,G1 - Cộng đồng GITA365,G1-W06-N5,Bai nhe,Bang chung & cau chuyen,Trước và sau: ba mươi ngày của một thành viên,Truoc va sau,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
6,2026-10-16,Thu Sau,19:45,G1 - Cộng đồng GITA365,G1-W06-T6-BANG,Bằng Chứng,Bang chung & cau chuyen,Anh ấy học lại cách nói chuyện với con,Cau chuyen chuyen hoa (UGC),Ke cau chuyen cua ban,T1,CARE-3,NANG_LUC,chua phan cong,chua soan
6,2026-10-16,Thu Sau,19:45,G2 - Gia Đình Thịnh Vượng,G2-W06-T6-KHOE,Khoe Nhà Mình,Cau chuyen gia dinh,Khoảnh khắc bạn thấy con lớn lên,Anh/video + cau chuyen,Dang anh that kem 1 cau chuyen,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
6,2026-10-17,Thu Bay,08:00,G1 - Cộng đồng GITA365,G1-W06-T7-THUC,Thực Chiến,Thuc hanh co huong dan,Bài tập: ba con số về tiền của gia đình bạn,Bai tap + mau dien,Nop bai tren web app truoc Chu nhat,T1,CARE-2,NANG_LUC,chua phan cong,chua soan
6,2026-10-17,Thu Bay,08:00,G2 - Gia Đình Thịnh Vượng,G2-W06-T7-CHOI,Gia Đình Chơi Cùng Nhau,Hoat dong gia dinh,Cả nhà cùng nấu một món,Huong dan tro choi 15 phut,Choi va dang anh/video,T1,CARE-2,NUOI_DAY,chua phan cong,chua soan
6,2026-10-17,Thu Bay,11:45,G1 - Cộng đồng GITA365,G1-W06-N6,Bai nhe,Nhan thuc & tu duy,Điều ai cũng khuyên nhưng có thể sai với bạn,Goc nhin nguoc,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
6,2026-10-18,Chu Nhat,11:45,G1 - Cộng đồng GITA365,G1-W06-N7,Bai nhe,Moi goi hanh dong,Buổi định hướng nhóm nhỏ tuần này còn chỗ,Nhac buoi dinh huong,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
6,2026-10-18,Chu Nhat,21:00,G1 - Cộng đồng GITA365,G1-W06-CN-TONG,Tổng Kết & Vinh Danh,Moi goi hanh dong,Con số của tuần và ba bài học,Bang vinh danh + 1 loi moi,Loi moi duy nhat trong tuan,T2,CARE-3,NANG_LUC,chua phan cong,chua soan
6,2026-10-18,Chu Nhat,21:00,G2 - Gia Đình Thịnh Vượng,G2-W06-CN-VINH,Bảng Vinh Danh Gia Đình,Thi dua & vinh danh,Gia đình tiến bộ nhất tuần này,Bang xep hang 4 bang dau,Co vu it nhat 3 gia dinh,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
7,2026-10-19,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W07-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,Bạn đang tiêu thời gian vào đâu nhiều nhất?,Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NANG_LUC,chua phan cong,chua soan
7,2026-10-19,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W07-N1,Bai nhe,Nhan thuc & tu duy,Một câu để mang theo hôm nay,Anh trich dan co ngu canh,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
7,2026-10-19,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W07-N1,Bai nhe,Ky nang cha me - vo chong,Nhà bạn xử lý thế nào khi hai đứa tranh nhau đồ chơi?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
7,2026-10-19,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W07-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: đọc cùng con 15 phút mỗi tối,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
7,2026-10-20,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W07-N2,Bai nhe,Bang chung & cau chuyen,Hậu trường: một buổi làm việc của đội GITA365,Hau truong,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
7,2026-10-20,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W07-N2,Bai nhe,Thi dua & vinh danh,Bảng xếp hạng giữa tuần: nhà bạn đang ở đâu?,Nhac bang xep hang,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
7,2026-10-20,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W07-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,Câu hỏi bàn ăn: điều gì con đang cố gắng?,Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,NUOI_DAY,chua phan cong,chua soan
7,2026-10-20,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W07-T3-GIAI,Giải Mã,Nhan thuc & tu duy,Năng lượng quan trọng hơn thời gian,Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NANG_LUC,chua phan cong,chua soan
7,2026-10-21,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W07-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Chỉ cho một người cách bạn tiết kiệm được khoản đầu tiên,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NANG_LUC,chua phan cong,chua soan
7,2026-10-21,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W07-N3,Bai nhe,Nhan thuc & tu duy,Trả lời một câu hỏi thật của thành viên,Tra loi cau hoi that,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
7,2026-10-21,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W07-N3,Bai nhe,Moi nhan cong cu tang 1,Tặng cả nhà bộ 30 câu hỏi bàn ăn,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
7,2026-10-21,Thu Tu,19:45,G2 - Gia Đình Thịnh Vượng,G2-W07-T4-VIEC,Việc Tử Tế Của Gia Đình,Cau chuyen gia dinh,Cùng con làm một món quà tặng ai đó,Ke lai 3 dong,Ke viec tu te va gan the mot gia dinh khac,T0,CARE-2,NUOI_DAY,chua phan cong,chua soan
7,2026-10-22,Thu Nam,11:45,G1 - Cộng đồng GITA365,G1-W07-N4,Bai nhe,Thuc hanh co huong dan,Thử ngay 5 phút: viết ra ba điều đang chiếm đầu bạn,Thu ngay 5 phut,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
7,2026-10-22,Thu Nam,20:00,G1 - Cộng đồng GITA365,G1-W07-T5-HOI_,Hỏi & Đáp Cùng Cố Vấn,Ket noi & nghi thuc,Làm sao giữ nhịp khi công việc quá tải?,Livestream 30-45 phut,Dat cau hoi truoc gio live,T2,CARE-3,NANG_LUC,chua phan cong,chua soan
7,2026-10-22,Thu Nam,20:00,G2 - Gia Đình Thịnh Vượng,G2-W07-T5-CHA_,Cha Mẹ Tỉnh Thức,Ky nang cha me - vo chong,Con dán mắt vào điện thoại: thương lượng thế nào,Bai ky nang + kich ban noi,Thu toi nay va ke lai,T1,CARE-3,NUOI_DAY,chua phan cong,chua soan
7,2026-10-23,Thu Sau,11:45,G1 - Cộng đồng GITA365,G1-W07-N5,Bai nhe,Bang chung & cau chuyen,Sai lầm tôi từng trả giá đắt,Sai lam cua toi,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
7,2026-10-23,Thu Sau,19:45,G1 - Cộng đồng GITA365,G1-W07-T6-BANG,Bằng Chứng,Bang chung & cau chuyen,Từ nợ nần đến khoản tiết kiệm đầu tiên,Cau chuyen chuyen hoa (UGC),Ke cau chuyen cua ban,T1,CARE-3,NANG_LUC,chua phan cong,chua soan
7,2026-10-23,Thu Sau,19:45,G2 - Gia Đình Thịnh Vượng,G2-W07-T6-KHOE,Khoe Nhà Mình,Cau chuyen gia dinh,Lần đầu tiên của con,Anh/video + cau chuyen,Dang anh that kem 1 cau chuyen,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
7,2026-10-24,Thu Bay,08:00,G1 - Cộng đồng GITA365,G1-W07-T7-THUC,Thực Chiến,Thuc hanh co huong dan,Bài tập: thiết kế lại buổi sáng,Bai tap + mau dien,Nop bai tren web app truoc Chu nhat,T1,CARE-2,NANG_LUC,chua phan cong,chua soan
7,2026-10-24,Thu Bay,08:00,G2 - Gia Đình Thịnh Vượng,G2-W07-T7-CHOI,Gia Đình Chơi Cùng Nhau,Hoat dong gia dinh,Thử thách một ngày không màn hình,Huong dan tro choi 15 phut,Choi va dang anh/video,T1,CARE-2,NUOI_DAY,chua phan cong,chua soan
7,2026-10-24,Thu Bay,11:45,G1 - Cộng đồng GITA365,G1-W07-N6,Bai nhe,Nhan thuc & tu duy,Câu hỏi nhanh: khó nhất với bạn là bắt đầu hay duy trì?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
7,2026-10-25,Chu Nhat,11:45,G1 - Cộng đồng GITA365,G1-W07-N7,Bai nhe,Moi goi hanh dong,Bộ công cụ tuần này đang nằm ở đâu?,Nhac tai nguyen tang 1,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
7,2026-10-25,Chu Nhat,21:00,G1 - Cộng đồng GITA365,G1-W07-CN-TONG,Tổng Kết & Vinh Danh,Moi goi hanh dong,Ai đã tiến xa nhất tuần này?,Bang vinh danh + 1 loi moi,Loi moi duy nhat trong tuan,T2,CARE-3,NANG_LUC,chua phan cong,chua soan
7,2026-10-25,Chu Nhat,21:00,G2 - Gia Đình Thịnh Vượng,G2-W07-CN-VINH,Bảng Vinh Danh Gia Đình,Thi dua & vinh danh,Câu chuyện được yêu thích nhất tuần,Bang xep hang 4 bang dau,Co vu it nhat 3 gia dinh,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
8,2026-10-26,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W08-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,"Một kỹ năng, hai mươi phút mỗi ngày",Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NANG_LUC,chua phan cong,chua soan
8,2026-10-26,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W08-N1,Bai nhe,Nhan thuc & tu duy,Bình chọn: bạn hợp với buổi sáng hay buổi tối?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
8,2026-10-26,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W08-N1,Bai nhe,Ky nang cha me - vo chong,Bình chọn: cuối tuần nhà bạn thích ở nhà hay đi chơi?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
8,2026-10-26,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W08-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: một ngày không quát,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,NUOI_DAY,chua phan cong,chua soan
8,2026-10-27,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W08-N2,Bai nhe,Bang chung & cau chuyen,Một câu của thành viên khiến cả nhóm dừng lại,Anh trich dan tu thanh vien,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
8,2026-10-27,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W08-N2,Bai nhe,Thi dua & vinh danh,Chào những gia đình mới đăng ký Mã gia đình tuần này,Goi ten gia dinh moi,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
8,2026-10-27,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W08-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,Câu hỏi bàn ăn: con thấy nhà mình đặc biệt ở chỗ nào?,Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,NUOI_DAY,chua phan cong,chua soan
8,2026-10-27,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W08-T3-GIAI,Giải Mã,Nhan thuc & tu duy,Vì sao bạn học nhiều mà đổi thay ít?,Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NANG_LUC,chua phan cong,chua soan
8,2026-10-28,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W08-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Giới thiệu hai người trong nhóm nên quen nhau,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NANG_LUC,chua phan cong,chua soan
8,2026-10-28,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W08-N3,Bai nhe,Ket noi & nghi thuc,Chào mừng những người mới của tuần,Chao mung nguoi moi,Tra loi 1 dong,T0,CARE-1,NANG_LUC,chua phan cong,chua soan
8,2026-10-28,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W08-N3,Bai nhe,Moi nhan cong cu tang 1,Bộ 12 trò chơi gắn kết cha mẹ - con cái đã có trên web app,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,NUOI_DAY,chua phan cong,chua soan
